title,platform,Score,release_year
Intelligent Qube,PlayStation,8,1997
International Superstar Soccer 64,Nintendo 64,9,1997
Iron Man / XO Manowar in Heavy Metal,PlayStation,3,1997
Jet Moto,PlayStation,8,1997
Jet Moto 2,PlayStation,7,1997
Jimmy Johnson's VR Football 98,PlayStation,4,1997
K-1 The Arena Fighters,PlayStation,5,1997
Lethal Enforcers I & II,PlayStation,4,1997
Mace: The Dark Age,Nintendo 64,7,1997
Machine Hunter,PlayStation,5,1997
Madden Football 64,Nintendo 64,8,1997
Madden NFL '98,PlayStation,7,1997
Magic: The Gathering -- Battlemage,PlayStation,4,1997
Mario Kart 64,Nintendo 64,8,1997
Marvel Super Heroes,PlayStation,7,1997
Mass Destruction,PlayStation,7,1997
Maximum Force,PlayStation,5,1997
MDK,PlayStation,8,1997
MechWarrior 2,PlayStation,8,1997
Mega Man 8,PlayStation,6,1997
Mega Man X4,PlayStation,7,1997
Mischief Makers,Nintendo 64,6,1997
MLB '98,PlayStation,8,1997
Monster Rancher,PlayStation,9,1997
Mortal Kombat Mythologies: Sub-Zero,PlayStation,4,1997
Mortal Kombat Mythologies: Sub-Zero,Nintendo 64,3,1997
Moto Racer,PlayStation,8,1997
Multi Racing Championship,Nintendo 64,6,1997
Namco Museum Vol. 3,PlayStation,6,1997
Namco Museum Vol. 4,PlayStation,6,1997
Namco Museum Vol. 5,PlayStation,6,1997
Nanotek Warrior,PlayStation,8,1997
NASCAR 98,PlayStation,8,1997
NBA Fastbreak '98,PlayStation,4,1997
NBA Hang Time,Nintendo 64,5,1997
NBA Hang Time,PlayStation,4,1997
NBA Live '97,PlayStation,8,1997
NBA Live '98,PlayStation,8,1997
NBA ShootOut '97,PlayStation,9,1997
NCAA Football '98,PlayStation,7,1997
NCAA GameBreaker '98,PlayStation,8,1997
Need for Speed II,PlayStation,6,1997
Need for Speed: V-Rally,PlayStation,8,1997
NFL GameDay 97,PlayStation,8,1997
NFL GameDay 98,PlayStation,9,1997
NFL Quarterback Club '98,Nintendo 64,8,1997
NHL '98,PlayStation,8,1997
NHL Breakaway '98,PlayStation,7,1997
NHL FaceOff '97,PlayStation,8,1997
NHL FaceOff '98,PlayStation,8,1997
NHL Powerplay '98,PlayStation,7,1997
Nightmare Creatures,PlayStation,8,1997
Norse By Norse West: The Return of the Lost Vikings,PlayStation,6,1997
Nuclear Strike,PlayStation,8,1997
Oddworld: Abe's Oddysee,PlayStation,8,1997
Ogre Battle,PlayStation,6,1997
One,PlayStation,5,1997
Overblood,PlayStation,6,1997
Parappa The Rapper,PlayStation,9,1997
Peak Performance,PlayStation,7,1997
Persona,PlayStation,8,1997
PGA Tour '98,PlayStation,7,1997
Porsche Challenge,PlayStation,8,1997
Poy Poy,PlayStation,8,1997
Pro-Pinball,PlayStation,8,1997
Project Overkill,PlayStation,5,1997
Psychic Force,PlayStation,5,1997
Puyo Puyo Sun64,Nintendo 64,7,1997
Rage Racer,PlayStation,7,1997
Rally Cross,PlayStation,7,1997
Rampage: World Tour,PlayStation,5,1997
RayStorm,PlayStation,8,1997
Reel Fishing,PlayStation,6,1997
Resident Evil: Director's Cut,PlayStation,9,1997
Rush Hour,PlayStation,6,1997
San Francisco Rush: Extreme Racing,Nintendo 64,9,1997
Sentient [1997],PlayStation,5,1997
Shipwreckers!,PlayStation,6,1997
Soul Blade,PlayStation,8,1997
Spawn: The Eternal,PlayStation,2,1997
Spider,PlayStation,6,1997
Star Fox 64,Nintendo 64,9,1997
Star Wars: Masters of Teras Kasi,PlayStation,4,1997
Steel Reign,PlayStation,7,1997
Street Fighter Collection,PlayStation,7,1997
Street Fighter EX Plus Alpha,PlayStation,8,1997
Suikoden,PlayStation,9,1997
Super Puzzle Fighter II Turbo,PlayStation,9,1997
Swagman,PlayStation,5,1997
Syndicate Wars,PlayStation,5,1997
Tail of the Sun,PlayStation,7,1997
Tecmo Stackers,PlayStation,7,1997
Test Drive 4,PlayStation,7,1997
Tetrisphere,Nintendo 64,8,1997
The City of Lost Children,PlayStation,5,1997
The Crow: City of Angels,PlayStation,1,1997
The Incredible Hulk: The Pantheon Saga,PlayStation,5,1997
The Lost World: Jurassic Park,PlayStation,5,1997
Thunder Truck Rally,PlayStation,7,1997
Tiger Shark,PlayStation,7,1997
Time Crisis,PlayStation,8,1997
TNN Motorsports Hardcore 4X4,PlayStation,4,1997
Tomb Raider II Starring Lara Croft,PlayStation,8,1997
Top Gear Rally,Nintendo 64,8,1997
Treasures of the Deep,PlayStation,8,1997
Triple Play '98,PlayStation,9,1997
Tunnel B-1,PlayStation,6,1997
Turok: Dinosaur Hunter,Nintendo 64,9,1997
Twisted Metal 2,PlayStation,7,1997
Vandal Hearts,PlayStation,8,1997
Virtual Pool,PlayStation,7,1997
VMX Racing,PlayStation,5,1997
VR Baseball '97,PlayStation,7,1997
VR Golf '97,PlayStation,8,1997
Vs.,PlayStation,4,1997
War Gods,Nintendo 64,4,1997
War Gods,PlayStation,4,1997
Warcraft II: The Dark Saga,PlayStation,7,1997
WCW vs. NWO: World Tour,Nintendo 64,8,1997
WCW vs. The World,PlayStation,6,1997
Wheel of Fortune [1997],Nintendo 64,6,1997
Wild ARMs,PlayStation,8,1997
Wing Commander IV: The Price of Freedom,PlayStation,4,1997
Xevious 3D/G+,PlayStation,8,1997
1080° Snowboarding,Nintendo 64,9,1998
A Bug's Life,PlayStation,4,1998
Activision Classics,PlayStation,2,1998
Addiction Pinball,PC,8,1998
Aero Gauge,Nintendo 64,5,1998
All-Star Baseball '99,Nintendo 64,8,1998
Alundra,PlayStation,9,1998
Apocalypse,PlayStation,7,1998
Armored Core: Project Phantasma,PlayStation,8,1998
Army Men,PC,4,1998
Assault: Retribution,PlayStation,6,1998
Asteroids,PC,7,1998
Asteroids,PlayStation,6,1998
Auto Destruct,PlayStation,6,1998
Axis & Allies [1998],PC,8,1998
Azure Dreams,PlayStation,7,1998
Banjo-Kazooie,Nintendo 64,10,1998
Batman & Robin,PlayStation,5,1998
Beast Wars: Transformers,PlayStation,2,1998
Bio F.R.E.A.K.S.,PlayStation,7,1998
Bio F.R.E.A.K.S.,Nintendo 64,6,1998
Bio F.R.E.A.K.S.,PC,4,1998
Blasto,PlayStation,5,1998
Blood II: The Chosen,PC,6,1998
Bloody Roar,PlayStation,8,1998
Body Harvest,Nintendo 64,8,1998
Bomberman Hero,Nintendo 64,6,1998
Bomberman World,PlayStation,8,1998
Bottom of the 9th '99,PlayStation,5,1998
Brave Fencer Musashi,PlayStation,9,1998
Breath of Fire III,PlayStation,8,1998
Brunswick Circuit Pro Bowling,PlayStation,9,1998
Brunswick Circuit Pro Bowling,PC,7,1998
Buck Bumble,Nintendo 64,7,1998
Bushido Blade 2,PlayStation,7,1998
Bust A Groove,PlayStation,9,1998
Bust-A-Move 2 Arcade Edition,Nintendo 64,8,1998
Bust-A-Move 4,PlayStation,8,1998
C: The Contra Adventure,PlayStation,1,1998
Caesar III,PC,9,1998
