title,platform,Score,release_year
Ultimate Spider-Man,GameCube,8,2005
Ultimate Spider-Man,Xbox,8,2005
Ultimate Spider-Man,PlayStation 2,8,2005
Ultimate Spider-Man,Wireless,7,2005
Ultimate Spider-Man (Limited Edition),PlayStation 2,8,2005
Uno Challenge,Wireless,7,2005
Unreal Championship 2: The Liandri Conflict,Xbox,9,2005
Untold Legends: Brotherhood of the Blade,PlayStation Portable,8,2005
Urban Reign,PlayStation 2,7,2005
Vendetta Online,PC,7,2005
Vietcong 2,PC,7,2005
Viewtiful Joe: Double Trouble,Nintendo DS,9,2005
Viewtiful Joe: Red Hot Rumble,GameCube,5,2005
Vijay Singh Pro Golf 2005 3D,Wireless,9,2005
Virtua Quest,PlayStation 2,7,2005
Virtua Quest,GameCube,7,2005
Virtua Tennis World Tour,PlayStation Portable,9,2005
Wallace & Gromit: The Curse of the Were-Rabbit,PlayStation 2,7,2005
Wallace & Gromit: The Curse of the Were-Rabbit,Wireless,6,2005
War of the Worlds,Wireless,8,2005
"Warhammer 40,000: Dawn of War -- Winter Assault",PC,9,2005
Wario Ware Touched!,Nintendo DS,9,2005
Wario Ware Twisted!,Game Boy Advance,10,2005
Water Balloon Drop,Wireless,7,2005
We ♥ Katamari,PlayStation 2,8,2005
Whac-A-Mole,Nintendo DS,5,2005
Wheel of Fortune For Prizes,Wireless,7,2005
Wik & The Fable of Souls,Xbox 360,8,2005
Wild ARMs -- Alter Code: F,PlayStation 2,8,2005
Will of Steel,PC,6,2005
Wimbledon 2005,Wireless,5,2005
Winnie the Pooh's Rumbly Tumbly Adventure,GameCube,6,2005
Winnie the Pooh's Rumbly Tumbly Adventure,PlayStation 2,6,2005
WipEout Pure,PlayStation Portable,9,2005
Without Warning,PlayStation 2,4,2005
Without Warning,Xbox,4,2005
Wonder Boy,Wireless,7,2005
World Championship Poker 2: Featuring Howard Lederer,PlayStation 2,7,2005
World Championship Poker 2: Featuring Howard Lederer,Xbox,7,2005
World Championship Poker: Deluxe Series,Nintendo DS,7,2005
World Poker Tour,Xbox,7,2005
World Poker Tour,PlayStation 2,7,2005
World Poker Tour,Game Boy Advance,7,2005
World Poker Tour: Texas Hold 'Em,Wireless,9,2005
World Series of Poker,GameCube,4,2005
World Series of Poker,Xbox,4,2005
World Series of Poker,PlayStation 2,4,2005
World Series of Poker,PlayStation Portable,3,2005
World Soccer Winning Eleven 8 International,Xbox,9,2005
World Soccer Winning Eleven 8 International,PlayStation 2,9,2005
World Tour Soccer,PlayStation Portable,7,2005
World Tour Soccer 2006,PlayStation 2,7,2005
Worms 3D,Xbox,7,2005
Worms 4: Mayhem,PC,8,2005
Worms 4: Mayhem,Xbox,6,2005
Worms Forts Under Siege,Xbox,7,2005
WWE Aftershock,N-Gage,5,2005
WWE Day of Reckoning 2,GameCube,9,2005
WWE SmackDown vs. Raw 2006,PlayStation 2,9,2005
WWE SmackDown vs. Raw 2006,PlayStation Portable,9,2005
WWE SmackDown!,Wireless,8,2005
WWE WrestleMania 21,Xbox,6,2005
X-Men Legends,N-Gage,8,2005
X-Men Legends II: Rise of Apocalypse,PC,9,2005
X-Men Legends II: Rise of Apocalypse,PlayStation 2,9,2005
X-Men Legends II: Rise of Apocalypse,Xbox,9,2005
X-Men Legends II: Rise of Apocalypse,GameCube,8,2005
X-Men Legends II: Rise of Apocalypse,PlayStation Portable,8,2005
X-Men Legends II: Rise of Apocalypse,Wireless,8,2005
X3: Reunion,PC,8,2005
Xenosaga Episode II: Jenseits von Gut und Bose,PlayStation 2,8,2005
xXx: State of the Union,Wireless,8,2005
Xyanide Mobile,Wireless,8,2005
Yahoo! Pyramids,Wireless,9,2005
Yoshi Topsy Turvy,Game Boy Advance,5,2005
Yoshi Touch & Go,Nintendo DS,9,2005
Yourself!Fitness,PlayStation 2,7,2005
Ys: Book One,Wireless,8,2005
Ys: The Ark of Napishtim,PlayStation 2,8,2005
Yu-Gi-Oh! 7 Trials to Glory: World Championship Tournament 2005,Game Boy Advance,8,2005
Yu-Gi-Oh! Nightmare Troubadour,Nintendo DS,7,2005
Zatch Bell!: Mamodo Battles,PlayStation 2,5,2005
Zathura: A Space Adventure,PlayStation 2,3,2005
Zathura: A Space Adventure,Xbox,3,2005
Zoo Keeper,Nintendo DS,7,2005
Zoo Keeper DX,Wireless,8,2005
Zoo Tycoon 2 Mobile,Wireless,8,2005
Zoo Tycoon 2: Endangered Species,PC,7,2005
Zoo Tycoon DS,Nintendo DS,4,2005
Zuma,Wireless,9,2005
1942,Wireless,5,2006
1701 A.D.,PC,8,2006
2006 FIFA World Cup,PlayStation Portable,8,2006
2006 FIFA World Cup,Xbox 360,8,2006
2006 FIFA World Cup,PC,8,2006
2006 FIFA World Cup,Xbox,8,2006
2006 FIFA World Cup,GameCube,8,2006
2006 FIFA World Cup,PlayStation 2,8,2006
2006 FIFA World Cup,Nintendo DS,8,2006
2006 FIFA World Cup,Wireless,6,2006
24: The Game,Wireless,9,2006
24: The Game,PlayStation 2,4,2006
25 To Life,PC,3,2006
25 To Life,PlayStation 2,3,2006
25 To Life,Xbox,3,2006
3D Tilt-a-World,Wireless,8,2006
50 Cent: Bulletproof G Unit Edition,PlayStation Portable,5,2006
80 Days [2005],PC,7,2006
Absolute Minesweeper,Wireless,7,2006
Ace Combat X: Skies of Deception,PlayStation Portable,9,2006
Ace Combat Zero: The Belkan War,PlayStation 2,9,2006
Action Octopus 3D,Wireless,3,2006
Activision Hits Remixed,PlayStation Portable,8,2006
Agatha Christie: Murder on the Orient Express,PC,6,2006
Age of Empires III: The WarChiefs,PC,8,2006
Age of Empires: The Age of Kings,Nintendo DS,8,2006
Age of Pirates: Caribbean Tales,PC,8,2006
Air Strike 1944,Wireless,7,2006
Alex Rider: Stormbreaker,Nintendo DS,4,2006
Alfa Romeo Racing Italiano,PlayStation 2,4,2006
Alien Crush,TurboGrafx-16,7,2006
Alien Crush,Wii,7,2006
Aliens vs. Predator 3D,Wireless,7,2006
Alpha Wing 2,Wireless,8,2006
American Chopper 2: Full Throttle,PlayStation 2,6,2006
American Chopper 2: Full Throttle,GameCube,6,2006
American Chopper 2: Full Throttle,Xbox,6,2006
American Conquest: Divided Nation,PC,6,2006
American Dragon: Jake Long -- Attack of the Dark Dragon,Nintendo DS,7,2006
American Dragon: Jake Long -- Rise of the Huntsclan,Game Boy Advance,6,2006
AMF Xtreme Bowling 2006,Xbox,2,2006
AMF Xtreme Bowling 2006,PlayStation 2,2,2006
Amy's Jigsaw Scrapbook,Wireless,7,2006
AND 1 Streetball,Wireless,8,2006
AND 1 Streetball,Xbox,4,2006
AND 1 Streetball,PlayStation 2,4,2006
Ape Escape 3,PlayStation 2,8,2006
Ape Escape Academy,PlayStation Portable,6,2006
Arena Football,Xbox,8,2006
Arena Football,PlayStation 2,8,2006
Armored Core: Last Raven,PlayStation 2,6,2006
Army Men: Major Malfunction,Xbox,3,2006
Asphalt 3: Street Rules,Wireless,8,2006
Assault Heroes,Xbox 360,9,2006
Astonishia Story,PlayStation Portable,6,2006
AstroPop,Xbox 360,8,2006
ATV Offroad Fury,Wireless,7,2006
ATV Offroad Fury 4,PlayStation 2,8,2006
ATV Offroad Fury Pro,PlayStation Portable,8,2006
Auto Assault,PC,8,2006
Avatar: The Last Airbender,Nintendo DS,7,2006
Avatar: The Last Airbender,Game Boy Advance,6,2006
Avatar: The Last Airbender,PlayStation Portable,5,2006
Avatar: The Last Airbender,PlayStation 2,5,2006
Avatar: The Last Airbender,GameCube,5,2006
Avatar: The Last Airbender,Xbox,5,2006
Avatar: The Last Airbender,Wii,5,2006
Backyard Baseball 2007,PC,2,2006
Backyard Baseball 2007,PlayStation 2,2,2006
Bad Day L.A.,PC,3,2006
Barbie In The 12 Dancing Princesses,Nintendo DS,7,2006
Barnyard,GameCube,7,2006
Barnyard,PlayStation 2,7,2006
Barnyard,Game Boy Advance,6,2006
Barnyard,PC,6,2006
Barrow Hill: Curse of the Ancient Circle,PC,8,2006
Baten Kaitos Origins,GameCube,8,2006
Battle B-Daman,Game Boy Advance,6,2006
Battle of Europe,PC,5,2006
Battlefield 2: Armored Fury,PC,8,2006
Battlefield 2: Modern Combat,Xbox 360,8,2006
Battlefield 2142,PC,8,2006
Battlestar Galactica [2006],Wireless,6,2006
Beach Ping Pong,Wireless,8,2006
Beatmania,PlayStation 2,6,2006
Bejeweled,iPod,3,2006
Bejeweled 2: Deluxe,Xbox 360,8,2006
Big Brain Academy,Nintendo DS,8,2006
Big Bumpin',Xbox,7,2006
Big Bumpin',Xbox 360,7,2006
Big Mutha Truckers,Nintendo DS,6,2006
Big Mutha Truckers,Game Boy Advance,5,2006
Big Oil,PC,3,2006
Bill's Eggcellent Adventure,Wireless,7,2006
Bionicle Heroes,Nintendo DS,8,2006
Bionicle Heroes,Game Boy Advance,8,2006
Bionicle Heroes,PlayStation 2,8,2006
Bionicle Heroes,Xbox 360,8,2006
Black,Xbox,9,2006
Black,PlayStation 2,9,2006
Black & White 2: Battle of the Gods,PC,7,2006
Blade Dancer: Lineage of Light,PlayStation Portable,7,2006
Blades of Thunder II,Nintendo DS,5,2006
Blast Factor,PlayStation 3,6,2006
Blazing Angels: Squadrons of WWII,PC,7,2006
Blazing Angels: Squadrons of WWII,Xbox 360,7,2006
Blazing Angels: Squadrons of WWII,Xbox,7,2006
Blazing Angels: Squadrons of WWII,PlayStation 3,7,2006
Blitz: Overtime,PlayStation Portable,6,2006
Blitz: The League,Xbox 360,7,2006
Bode Miller Alpine Racing,Wireless,7,2006
Bode Miller Alpine Skiing,PlayStation 2,3,2006
Bomberman,PlayStation Portable,7,2006
Bomberman '93,Wii,9,2006
Bomberman '93,TurboGrafx-16,9,2006
Bomberman Kart,Wireless,7,2006
Bomberman Land Touch!,Nintendo DS,9,2006
Bomberman: Act Zero,Xbox 360,3,2006
Bone: The Great Cow Race,PC,9,2006
Bonk's Adventure,Wii,8,2006
Bonk's Adventure,TurboGrafx-16,8,2006
Bonk's Return,Wireless,8,2006
Boom Goes the Earth 3D,Wireless,7,2006
Bounty Hounds,PlayStation Portable,7,2006
Brain Age: Train Your Brain in Minutes a Day,Nintendo DS,8,2006
Brain Boost: Beta Wave,Nintendo DS,5,2006
Brain Boost: Gamma Wave,Nintendo DS,5,2006
Brain Challenge,Wireless,8,2006
Brain Juice,Wireless,8,2006
Bratz: Forever Diamondz,Nintendo DS,5,2006
Break 'em All,Nintendo DS,7,2006
Bricks of Egypt,Wireless,8,2006
Brothers in Arms 3D,Wireless,10,2006
Bubble Bobble Revolution,Nintendo DS,4,2006
Bully,PlayStation 2,9,2006
Bully ( (Collector's Edition)),PlayStation 2,9,2006
Burnout Revenge,Xbox 360,9,2006
Cabela's African Safari,PC,7,2006
Cabela's African Safari,PlayStation Portable,7,2006
Cabela's African Safari,PlayStation 2,7,2006
Cabela's Alaskan Adventures,Xbox 360,5,2006
Cabela's Alaskan Adventures,PlayStation 2,4,2006
Cabela's Dangerous Hunts: Ultimate Challenge,PlayStation Portable,6,2006
Caesar IV,PC,8,2006
Call of Cthulhu: Dark Corners of the Earth,PC,8,2006
Call of Duty 2,Wireless,8,2006
Call of Duty 3,Xbox,9,2006
Call of Duty 3,Xbox 360,9,2006
Call of Duty 3,PlayStation 2,8,2006
Call of Duty 3,Wii,8,2006
Call of Duty 3,PlayStation 3,8,2006
Camp Lazlo: Leaky Lake Games,Game Boy Advance,4,2006
Capcom Classics Collection Reloaded,PlayStation Portable,8,2006
Capcom Classics Collection Remixed,PlayStation Portable,7,2006
Capcom Classics Collection Vol. 2,PlayStation 2,7,2006
Capcom Classics Collection Vol. 2,Xbox,7,2006
Cars,PlayStation Portable,8,2006
Cars,GameCube,7,2006
Cars,Xbox,7,2006
Cars,PlayStation 2,7,2006
Cars,Wireless,7,2006
Cars,PC,7,2006
Cars,Xbox 360,7,2006
Cars,Wii,7,2006
Cars,Nintendo DS,6,2006
Cars,Game Boy Advance,3,2006
Cartoon Network Racing,PlayStation 2,3,2006
Cash Guns Chaos DLX,PlayStation 3,4,2006
Casino Royale,Wireless,6,2006
Castlevania: Portrait of Ruin,Nintendo DS,9,2006
Chaos Field,GameCube,6,2006
Charlotte's Web,Nintendo DS,7,2006
Charlotte's Web,Game Boy Advance,6,2006
Chibi-Robo,GameCube,8,2006
Chicken Little,Game Boy Advance,8,2006
Chicken Little: Ace in Action,PlayStation 2,8,2006
Chicken Little: Ace in Action,Wii,8,2006
Chicken Little: Ace in Action,Nintendo DS,7,2006
Children of Mana,Nintendo DS,8,2006
Chromehounds,Xbox 360,7,2006
City Life,PC,8,2006
CivCity: Rome,PC,8,2006
Classified: The Sentinel Crisis,Xbox,2,2006
Cloning Clyde,Xbox 360,8,2006
Clubhouse Games,Nintendo DS,9,2006
CMT Presents: Karaoke Revolution Country,PlayStation 2,7,2006
Coffee Tycoon,PC,4,2006
College Hoops 2K6,Xbox 360,7,2006
College Hoops 2K7,Xbox 360,8,2006
College Hoops 2K7,Xbox,7,2006
College Hoops 2K7,PlayStation 2,7,2006
Columns,Genesis,7,2006
Columns,Wii,7,2006
Commandos Strike Force,Xbox,8,2006
Commandos Strike Force,PlayStation 2,8,2006
Commandos Strike Force,PC,8,2006
Company of Heroes,PC,9,2006
Condemned: Criminal Origins,PC,9,2006
Contact,Nintendo DS,8,2006
Contra,Wireless,7,2006
Contra,Xbox 360,5,2006
Cooking Mama,Nintendo DS,7,2006
Corvette Evolution GT,PlayStation 2,4,2006
Crash Boom Bang!,Nintendo DS,2,2006
Crazy Climber,Wireless,6,2006
Crime Stories,PC,5,2006
Cross Racing Championship 2005,PC,8,2006
Crusty Demons,Xbox,5,2006
Crystal Quest,Xbox 360,6,2006
CSI: Crime Scene Investigation: 3 Dimensions of Murder,PC,9,2006
Curious George,PlayStation 2,6,2006
Curious George,GameCube,6,2006
Curious George,Xbox,6,2006
D1 Professional Drift Grand Prix Series,PlayStation 2,4,2006
Daemonica,PC,7,2006
Dance Dance Revolution [2006],Wireless,6,2006
Dance Dance Revolution SuperNOVA,PlayStation 2,7,2006
Dance Factory,PlayStation 2,4,2006
Danny Phantom: The Ultimate Enemy,Game Boy Advance,8,2006
Danny Phantom: The Urban Jungle,Nintendo DS,6,2006
Dark Messiah of Might and Magic,PC,7,2006
Darkest Fear,Wireless,9,2006
DarkStar One,PC,8,2006
Dave Mirra BMX Challenge,PlayStation Portable,2,2006
Daxter,PlayStation Portable,9,2006
Dead or Alive Xtreme 2,Xbox 360,6,2006
Dead Rising,Xbox 360,8,2006
Death Jr. 2: Root of Evil,PlayStation Portable,7,2006
Deep Labyrinth,Nintendo DS,7,2006
Def Jam Fight for NY: The Takeover,PlayStation Portable,8,2006
Def Jam: Fight for NY,Wireless,6,2006
DEFCON,PC,9,2006
Defender,Xbox 360,6,2006
Delta Force: Black Hawk Down -- Team Sabre,Wireless,8,2006
Derek Jeter Pro Baseball 2006,Wireless,8,2006
Desperados 2: Cooper's Revenge,PC,7,2006
Desperate Housewives: The Game,PC,8,2006
Destroy All Humans! 2,PlayStation 2,8,2006
Destroy All Humans! 2,Xbox,8,2006
Devil May Cry 3: Dante's Awakening,PC,6,2006
Devil May Cry 3: Dante's Awakening (Special Edition),PlayStation 2,9,2006
Dig Dug,Xbox 360,7,2006
Digimon World DS,Nintendo DS,8,2006
Diner Dash (Glu Mobile Version),Wireless,9,2006
Dino Master,Nintendo DS,3,2006
Dirge of Cerberus: Final Fantasy VII,PlayStation 2,7,2006
Dirge of Cerberus: Final Fantasy VII: Lost Episode,Wireless,7,2006
Disgaea 2: Cursed Memories,PlayStation 2,9,2006
Donkey Kong,Wii,4,2006
Donkey Kong,NES,4,2006
Donkey Kong Jr.,NES,5,2006
Donkey Kong Jr.,Wii,5,2006
Doom (1993),Xbox 360,8,2006
Dr. Robotnik's Mean Bean Machine,Wii,8,2006
Dr. Robotnik's Mean Bean Machine,Genesis,8,2006
Dr. Sudoku,Game Boy Advance,7,2006
Dragon Ball Advanced Adventure,Game Boy Advance,8,2006
Dragon Ball Z Budokai Tenkaichi 2,Wii,8,2006
Dragon Ball Z Budokai Tenkaichi 2,PlayStation 2,8,2006
Dragon Ball Z: Shin Budokai,PlayStation Portable,7,2006
Dragon Ball Z: Supersonic Warriors 2,Nintendo DS,8,2006
Dragon Quest Heroes: Rocket Slime,Nintendo DS,9,2006
Drakengard 2,PlayStation 2,6,2006
Dreamfall: The Longest Journey,Xbox,8,2006
Dreamfall: The Longest Journey,PC,7,2006
Drill Dozer,Game Boy Advance,8,2006
Driver: Parallel Lines,PlayStation 2,7,2006
Driver: Parallel Lines,Xbox,7,2006
Driver: Parallel Lines (Limited Edition),PlayStation 2,7,2006
Duckshot,Wireless,7,2006
Dungeon Siege II: Broken World,PC,6,2006
Dungeon Siege: Throne of Agony,PlayStation Portable,8,2006
Dungeons & Dragons Online: Stormreach,PC,8,2006
Dynasty Warriors 5: Empires,Xbox 360,5,2006
Dynasty Warriors 5: Empires,PlayStation 2,5,2006
Dynasty Warriors Vol. 2,PlayStation Portable,5,2006
EA Air Hockey,Wireless,8,2006
Eagle Eye Golf,PlayStation 2,6,2006
Ecco the Dolphin,Wii,7,2006
Ecco the Dolphin,Genesis,7,2006
El Matador,PC,5,2006
Elebits,Wii,8,2006
Electroplankton,Nintendo DS,7,2006
Elite Beat Agents,Nintendo DS,10,2006
Empire Earth Mobile,Wireless,7,2006
Enchanted Arms,Xbox 360,8,2006
Eragon,Game Boy Advance,8,2006
Eragon,Nintendo DS,7,2006
Eragon,PlayStation Portable,6,2006
Eragon,Xbox,5,2006
Eragon,PC,5,2006
Eragon,Xbox 360,5,2006
Eragon,PlayStation 2,5,2006
Eragon: Dragon Rider,Wireless,7,2006
Eureka Seven Vol. 1: The New Wave,PlayStation 2,5,2006
EverQuest II: Echoes of Faydwer,PC,8,2006
EverQuest II: Kingdom of Sky,PC,8,2006
Every Extend Extra,PlayStation Portable,8,2006
Excite Truck,Wii,8,2006
Exit,PlayStation Portable,7,2006
F.E.A.R.,Xbox 360,9,2006
F.E.A.R. Extraction Point,PC,8,2006
Faces of War,PC,7,2006
Fairly OddParents: Clash with the Anti-World,Game Boy Advance,4,2006
Family Feud,PlayStation 2,3,2006
Family Guy,PlayStation 2,4,2006
Family Guy,PlayStation Portable,4,2006
Family Guy,Xbox,4,2006
Family Guy: Air Griffin,Wireless,5,2006
Far Cry Instincts Evolution,Xbox,8,2006
Far Cry Instincts Predator,Xbox 360,8,2006
Far Cry Vengeance,Wii,4,2006
Feeding Frenzy,Xbox 360,7,2006
Field Commander,PlayStation Portable,8,2006
FIFA Soccer 07,PlayStation Portable,9,2006
FIFA Soccer 07,PC,9,2006
FIFA Soccer 07,Xbox,9,2006
FIFA Soccer 07,PlayStation 2,9,2006
FIFA Soccer 07,GameCube,8,2006
FIFA Soccer 07,Nintendo DS,8,2006
FIFA Soccer 07,Xbox 360,7,2006
FIFA Street 2,Xbox,6,2006
FIFA Street 2,GameCube,6,2006
FIFA Street 2,PlayStation 2,6,2006
FIFA Street 2,PlayStation Portable,6,2006
FIFA Street 2,Nintendo DS,5,2006
Fight Club 3D,Wireless,4,2006
Fight Night Round 3,Xbox 360,9,2006
Fight Night Round 3,Xbox,8,2006
Fight Night Round 3,PlayStation 2,8,2006
Fight Night Round 3,Wireless,8,2006
Fight Night Round 3,PlayStation 3,8,2006
Fight Night Round 3,PlayStation Portable,7,2006
Final Fantasy III,Nintendo DS,8,2006
Final Fantasy XI,Xbox 360,7,2006
Final Fantasy XI: Treasures of Aht Urhgan,PC,8,2006
Final Fantasy XI: Treasures of Aht Urhgan,PlayStation 2,8,2006
Final Fantasy XII,PlayStation 2,10,2006
Final Fantasy XII (Collector's Edition),PlayStation 2,10,2006
Final Fight: Streetwise,Xbox,4,2006
Final Fight: Streetwise,PlayStation 2,4,2006
Finding Nemo: Escape to the Big Blue,Nintendo DS,7,2006
First Battalion,PC,7,2006
FlatOut 2,PC,8,2006
FlatOut 2,Xbox,8,2006
FlatOut 2,PlayStation 2,8,2006
Flushed Away,Game Boy Advance,5,2006
Flushed Away,Nintendo DS,4,2006
Flushed Away,PlayStation 2,4,2006
Flushed Away,GameCube,4,2006
Flutter,Wireless,5,2006
Flyboys Squadron,PC,7,2006
Flying Toaster,Wireless,5,2006
Ford Bold Moves Street Racing,Xbox,4,2006
Ford Bold Moves Street Racing,PlayStation 2,4,2006
Ford Bold Moves Street Racing,PC,4,2006
Ford Bold Moves Street Racing,PlayStation Portable,4,2006
Foster's Home for Imaginary Friends,Game Boy Advance,6,2006
Franklin The Turtle: A Birthday Surprise,PlayStation 2,7,2006
Freedom Wings,Nintendo DS,3,2006
Frogger,Xbox 360,6,2006
From Russia With Love,PlayStation Portable,7,2006
Full Auto,Xbox 360,7,2006
Full Auto 2: Battlelines,PlayStation 3,8,2006
Full Spectrum Warrior: Ten Hammers,PlayStation 2,8,2006
Full Spectrum Warrior: Ten Hammers,PC,8,2006
Full Spectrum Warrior: Ten Hammers,Xbox,8,2006
Galactic Civilizations II: Dread Lords,PC,9,2006
Galaga,Xbox 360,7,2006
Galaga (25th Anniversary Edition),Wireless,8,2006
Gallop Racer 2006,PlayStation 2,9,2006
Games Explosion!,Game Boy Advance,4,2006
Gangs of London,PlayStation Portable,5,2006
Gangstar: Crime City,Wireless,7,2006
Garfield's A Tail of Two Kitties,Nintendo DS,5,2006
Gears of War,Xbox 360,9,2006
Gem Drop,Wireless,7,2006
Generation of Chaos,PlayStation Portable,7,2006
Genji: Days of the Blade,PlayStation 3,6,2006
Ghostbusters [2006],Wireless,5,2006
Ghosts 'N Goblins [2006],Wireless,8,2006
Girls' Night Out: Solitaire,Wireless,7,2006
Gitaroo Man Lives!,PlayStation Portable,8,2006
Glory of the Roman Empire,PC,8,2006
Go! Sudoku,PlayStation Portable,7,2006
Go! Sudoku,PlayStation 3,7,2006
God Hand,PlayStation 2,3,2006
Golden Axe,Genesis,7,2006
Golden Axe,Wii,7,2006
Golden Nugget Casino DS,Nintendo DS,5,2006
Gorillaz Entertainment System,Wireless,5,2006
Gothic 3,PC,5,2006
Gradius Collection,PlayStation Portable,8,2006
Grand Theft Auto: Liberty City Stories,PlayStation 2,8,2006
Grand Theft Auto: Vice City Stories,PlayStation Portable,9,2006
Grandia III,PlayStation 2,8,2006
Greg Hastings' Tournament Paintball Max'd,PlayStation 2,7,2006
Greg Hastings' Tournament Paintball Max'd,Nintendo DS,4,2006
GT Pro Series,Wii,4,2006
GT Pro Series (Game & Steering Wheel),Wii,4,2006
GTR 2,PC,9,2006
Guild Wars Factions,PC,9,2006
Guild Wars: Nightfall,PC,8,2006
Guilty Gear Dust Strikers,Nintendo DS,6,2006
Guilty Gear Judgment,PlayStation Portable,8,2006
Guitar Hero II (Game Only Edition),PlayStation 2,10,2006
Gun Showdown,PlayStation Portable,8,2006
Gunpey,PlayStation Portable,4,2006
Gunpey DS,Nintendo DS,6,2006
Gunpey EX,Wireless,9,2006
Gunstar Heroes,Wii,9,2006
Gunstar Heroes,Genesis,9,2006
Half-Life 2: Episode One,PC,9,2006
Hannah Montana,Nintendo DS,7,2006
Happy Feet,Wireless,8,2006
Happy Feet,Nintendo DS,5,2006
Happy Feet,Wii,5,2006
Happy Feet,PC,5,2006
Happy Feet,PlayStation 2,5,2006
Hard Truck: Apocalypse,PC,4,2006
Hardwood Backgammon,Xbox 360,7,2006
Hardwood Hearts,Xbox 360,7,2006
Harlem Globetrotters World Tour,Game Boy Advance,3,2006
Harley-Davidson: Race to the Rally,PlayStation 2,5,2006
Harley-Davidson: Race to the Rally,PC,5,2006
Harvest Moon DS,Nintendo DS,6,2006
Harvest Moon: A Wonderful Life -Special Edition-,PlayStation 2,6,2006
Harvest Moon: Magical Melody,GameCube,8,2006
Heroes of Annihilated Empires,PC,6,2006
Heroes of Might and Magic V,PC,8,2006
Heroes of Might and Magic V: Hammers of Fate,PC,7,2006
Hi Hi Puffy AmiYumi: The Genie and the Amp,Nintendo DS,4,2006
High Seize,N-Gage,8,2006
Hitman: Blood Money,Xbox,8,2006
Hitman: Blood Money,Xbox 360,8,2006
Hitman: Blood Money,PC,8,2006
Hitman: Blood Money,PlayStation 2,8,2006
Hitman: Blood Money Vegas,Wireless,6,2006
Hollywood Squares: Hip Hop Edition,Wireless,7,2006
Homies Dominoes 'n Dice,Wireless,8,2006
Horsez,PlayStation 2,2,2006
Hummer: Badlands,PlayStation 2,4,2006
Hummer: Badlands,Xbox,4,2006
Ice Age 2: Arctic Slide,Wireless,8,2006
Ice Age 2: The Meltdown,GameCube,8,2006
Ice Age 2: The Meltdown,PlayStation 2,8,2006
Ice Age 2: The Meltdown,Xbox,8,2006
Ice Age 2: The Meltdown,Wii,8,2006
Ice Age 2: The Meltdown,Nintendo DS,6,2006
Ice Age 2: The Meltdown,Game Boy Advance,5,2006
Ice Hockey,NES,7,2006
Ice Hockey,Wii,7,2006
IGPX,PlayStation 2,6,2006
IHRA Drag Racing -- Sportsman Edition,PlayStation 2,2,2006
Import Tuner Challenge,Xbox 360,6,2006
Inca Quest,Wireless,7,2006
Insaniquarium,Wireless,8,2006
IQ Academy,Wireless,7,2006
Iron Warriors: T-72 Tank Commander,PC,6,2006
Irritating Maze,Wireless,7,2006
It's Mr. Pants,Wireless,5,2006
Jamaican Bobsled,Wireless,7,2006
JAMDAT Sports MLB 2006,Wireless,9,2006
JAMDAT Sudoku,Wireless,8,2006
Jaws 3D,Wireless,7,2006
JAWS Unleashed,Xbox,7,2006
JAWS Unleashed,PlayStation 2,7,2006
JAWS Unleashed,PC,6,2006
Jewel Quest,Xbox 360,7,2006
Joint Task Force,PC,6,2006
Juiced: Eliminator,PlayStation Portable,7,2006
Juka and the Monophonic Menace,Game Boy Advance,8,2006
Jurassic Park,Wireless,7,2006
Just Cause,Xbox 360,7,2006
Just Cause,PC,7,2006
Just Cause,Xbox,7,2006
Just Cause,PlayStation 2,6,2006
Justice League Heroes,PlayStation 2,6,2006
Justice League Heroes,Xbox,6,2006
Justice League Heroes,PlayStation Portable,6,2006
Justice League Heroes,Nintendo DS,4,2006
Justice League Heroes: The Flash,Game Boy Advance,8,2006
Kao Challengers,PlayStation Portable,6,2006
Kao the Kangaroo Round 2,PC,6,2006
Kao the Kangaroo Round 2,PlayStation 2,6,2006
Kao the Kangaroo Round 2,GameCube,6,2006
Karate Spirits 3D,Wireless,7,2006
Keepsake,PC,7,2006
Killzone: Liberation,PlayStation Portable,9,2006
Kim Possible: What's the Switch?,PlayStation 2,8,2006
King Kong Pinball,Wireless,7,2006
Kingdom Hearts II,PlayStation 2,8,2006
Kirby Squeak Squad,Nintendo DS,8,2006
Konductra,Nintendo DS,7,2006
LarryBoy and the Bad Apple,PlayStation 2,5,2006
Left Behind: Eternal Forces,PC,6,2006
LEGO Star Wars II: The Original Trilogy,PC,8,2006
LEGO Star Wars II: The Original Trilogy,Xbox,8,2006
LEGO Star Wars II: The Original Trilogy,PlayStation 2,8,2006
LEGO Star Wars II: The Original Trilogy,Xbox 360,8,2006
LEGO Star Wars II: The Original Trilogy,GameCube,8,2006
LEGO Star Wars II: The Original Trilogy,PlayStation Portable,8,2006
LEGO Star Wars II: The Original Trilogy,Game Boy Advance,8,2006
LEGO Star Wars II: The Original Trilogy,Nintendo DS,4,2006
Leisure Suit Larry: Magna Cum Laude,Wireless,3,2006
Lemmings,PlayStation Portable,8,2006
Lemmings,Wireless,8,2006
Lemmings,PlayStation 3,8,2006
Let's Ride! Silver Buckle Stables,PlayStation 2,6,2006
Lil Jon Crunk Golf,Wireless,6,2006
LocoRoco,PlayStation Portable,9,2006
Lost Magic,Nintendo DS,7,2006
Lucinda Green's Equestrian Challenge,PlayStation 2,7,2006
Lumines,Wireless,9,2006
